document	keywords	categories
The low-orbit satellite was designed to conduct real-time quantum key	conduct|low orbit satellite	
in Micius, it is clear that more low-cost quantum satellites are needed to realize an efficient, practical and global quantum communication network that can meet the increasing user demand	be|quantum-communication|meet|micius|increasing|clear|user|realize	interest|plan|products
Australian researchers to build apps for Google quantum computer	quantum computer|australian researcher|build	app|products
Google has set up an outpost of its Quantum Artificial Intelligence Lab in Sydney, partnering with four Australian universities in the quest to develop world-changing applications for quantum computers	computer|world changing|university|australian|quantum|develop|quest|quantum artificial intelligence|outpost	system|use|operation|facility|products
the original mission of an enterprise is to contribute to the development of society by supplying products and services of superior q uality that are useful in people's lives, at reasonable prices, in appropriate amounts	appropriate|society|original|be|original enterprise|reasonable|contribute|useful|life	product|cost|award|corporation|company|magnitude|develop|community|people|plan|products
An international team led by LMU physicist Harald Weinfurter has successfully implemented an advanced form of quantum cryptography for the first time	advanced|lmu|quantum cryptography|implement|international|physicist|first time	manner|team
They are building the next generation of quantum computers with unparalleled know-how	next|quantum computer|build|unparalleled	create|expertise|creation
Since then, the work has progressed to unique hardware advantages and novel concepts around digital-analog quantum computing	progress|novel	work|concept|plan
Their Nordic values and the vibrant ecosystem gives us a unique advantage in building the future of quantum technologies	give|vibrant|quantum technology|quantum|unique advantage|value	technology|plan|products
India-headquartered HCL Technologies has signed a Memorandum of Understanding with the Sydney Quantum Academy to strengthen HCL’s Quantum computing capabilities through education and development opportunities including internships for Australia-based students from Sydney Quantum Academy member universities	hcl|development|student|quantum-computing|sign|strengthen|understanding|member university	capability|education|able|training|technology|plan|possibility|option|products
Quantum computers are built using qubits, the quantum analogues of classical bits, whose operation is based on two fundamental phenomena at the heart of quantum computing	quantum computer|fundamental phenomena|quantum computing|classical|qubits|quantum|analogue|heart	system|use|part|basis|operation|products
